store_name,experience,total_sales,url,id,title,months_sales,price,profit,category,fecha_info,sold_products,mercado_lider,url_pagination
Asus Tienda oficial,1,187,https://articulo.mercadolibre.com.co/MCO-462608884-portatil-hp-14-bs011la-1gr65la-i3-1tb-4gb-ubuntu-blanco-_JM,MCO462608884,Portátil Hp 14-bs011la 1gr65la I3 1tb 4gb Ubuntu Blanco,1,1059000,11649000,Portátiles,2018-09-10,11,1,https://computacion.mercadolibre.com.co/_Desde_51
LUOKKA TECHNOLOGY,7,569,https://articulo.mercadolibre.com.co/MCO-462608884-portatil-hp-14-bs011la-1gr65la-i3-1tb-4gb-ubuntu-blanco-_JM,MCO462608884,Portátil Hp 14-bs011la 1gr65la I3 1tb 4gb Ubuntu Blanco,5,1059000,11649000,Portátiles,2018-09-10,11,1,https://computacion.mercadolibre.com.co/_Desde_51
TECNOPLAZA CALI,3,336,https://articulo.mercadolibre.com.co/MCO-462608884-portatil-hp-14-bs011la-1gr65la-i3-1tb-4gb-ubuntu-blanco-_JM,MCO462608884,Portátil Hp 14-bs011la 1gr65la I3 1tb 4gb Ubuntu Blanco,3,1059000,11649000,Portátiles,2018-09-10,11,1,https://computacion.mercadolibre.com.co/_Desde_51
COMPUPUNTO,10,72,https://articulo.mercadolibre.com.co/MCO-462608884-portatil-hp-14-bs011la-1gr65la-i3-1tb-4gb-ubuntu-blanco-_JM,MCO462608884,Portátil Hp 14-bs011la 1gr65la I3 1tb 4gb Ubuntu Blanco,7,1059000,11649000,Portátiles,2018-09-10,11,1,https://computacion.mercadolibre.com.co/_Desde_51
COAN4317020,3,203,https://articulo.mercadolibre.com.co/MCO-476208820-portatil-asus-x442ur-ga022-core-i7-8gb-1tb-tv-2gb-14-endles-_JM,MCO476208820,Portátil Asus X442ur-ga022 Core I7 8gb 1tb Tv 2gb 14 Endles,2,2129888,10649440,Portátiles,2018-09-10,5,0,https://computacion.mercadolibre.com.co/_Desde_101
RTECH INGENIERIA,4,660,https://articulo.mercadolibre.com.co/MCO-476208820-portatil-asus-x442ur-ga022-core-i7-8gb-1tb-tv-2gb-14-endles-_JM,MCO476208820,Portátil Asus X442ur-ga022 Core I7 8gb 1tb Tv 2gb 14 Endles,6,2129888,10649440,Portátiles,2018-09-10,5,1,https://computacion.mercadolibre.com.co/_Desde_101
JD MARKET,7,8,https://articulo.mercadolibre.com.co/MCO-476208820-portatil-asus-x442ur-ga022-core-i7-8gb-1tb-tv-2gb-14-endles-_JM,MCO476208820,Portátil Asus X442ur-ga022 Core I7 8gb 1tb Tv 2gb 14 Endles,8,2129888,10649440,Portátiles,2018-09-10,5,1,https://computacion.mercadolibre.com.co/_Desde_101
ADATA Tienda oficial,1,497,https://articulo.mercadolibre.com.co/MCO-467865423-mouse-ergonomico-vertical-con-cable-5d-super-precio-_JM,MCO467865423,Mouse Ergonomico Vertical Con Cable 5d Super Precio,4,23999,5735761,Periféricos y Accesorios de PC,2018-09-10,239,1,https://computacion.mercadolibre.com.co/_Desde_101
VENTAS_ONLINE_COLOMBIA_S.A.S.,5,2,https://articulo.mercadolibre.com.co/MCO-453615969-caja-externa-case-sata-disco-duro-25-usb-30-laptop-port-_JM,MCO453615969,Caja Externa Case Sata Disco Duro 2.5'' Usb 3.0 Laptop Port,2,23900,6166200,Discos Duros y Externos,2018-09-10,258,1,https://computacion.mercadolibre.com.co/_Desde_101
DATA ROKA,3,167,https://articulo.mercadolibre.com.co/MCO-453615969-caja-externa-case-sata-disco-duro-25-usb-30-laptop-port-_JM,MCO453615969,Caja Externa Case Sata Disco Duro 2.5'' Usb 3.0 Laptop Port,1,23900,6166200,Discos Duros y Externos,2018-09-10,258,1,https://computacion.mercadolibre.com.co/_Desde_101
MEDELLINELECTRONICA,3,6,https://articulo.mercadolibre.com.co/MCO-470151794-mini-computador-asus-vivostick-pc-ts10-ntel-atom-x5-z8350-_JM,MCO470151794,Mini Computador Asus Vivostick Pc Ts10 Ntel Atom X5-z8350,6,499900,2999400,Computadores,2018-09-10,6,1,https://computacion.mercadolibre.com.co/_Desde_101
KONEET.CO,11,575,https://articulo.mercadolibre.com.co/MCO-468679736-mini-teclado-inalambrico-retroiluminado-android-smartv-2018-_JM,MCO468679736,Mini Teclado Inalambrico Retroiluminado Android Smartv 2018,5,23000,4623000,Periféricos y Accesorios de PC,2018-09-10,201,1,https://computacion.mercadolibre.com.co/_Desde_101
EXPOCOLSUMINISTROSSAS,2,1,https://articulo.mercadolibre.com.co/MCO-468679736-mini-teclado-inalambrico-retroiluminado-android-smartv-2018-_JM,MCO468679736,Mini Teclado Inalambrico Retroiluminado Android Smartv 2018,1,23000,4623000,Periféricos y Accesorios de PC,2018-09-10,201,1,https://computacion.mercadolibre.com.co/_Desde_101
PCTELCOMPUTO,5,101,https://articulo.mercadolibre.com.co/MCO-476925619-intel-core-i7-processor-i7-860-280ghz-8mb-lga1156-_JM,MCO476925619,Intel Core I7 Processor I7-860 2.80ghz 8mb Lga1156,1,1000000,36000000,Partes y Componentes de PC,2018-09-10,36,1,https://computacion.mercadolibre.com.co/_Desde_151
OLESBILEYES,5,4,https://articulo.mercadolibre.com.co/MCO-468679736-mini-teclado-inalambrico-retroiluminado-android-smartv-2018-_JM,MCO468679736,Mini Teclado Inalambrico Retroiluminado Android Smartv 2018,4,23000,4623000,Periféricos y Accesorios de PC,2018-09-10,201,1,https://computacion.mercadolibre.com.co/_Desde_101
TECHS STORE,3,643,https://articulo.mercadolibre.com.co/MCO-468679736-mini-teclado-inalambrico-retroiluminado-android-smartv-2018-_JM,MCO468679736,Mini Teclado Inalambrico Retroiluminado Android Smartv 2018,6,23000,4623000,Periféricos y Accesorios de PC,2018-09-10,201,1,https://computacion.mercadolibre.com.co/_Desde_101
JRAMÍREZ CÉSPEDES,16,1,https://articulo.mercadolibre.com.co/MCO-458811712-asus-t103ha-d4-gr-transformer-mini-101-portatil-2-en-1-_JM,MCO458811712,Asus T103ha-d4-gr Transformer Mini 10.1 Portatil 2 En 1,1,1599000,6396000,Portátiles,2018-09-10,4,1,https://computacion.mercadolibre.com.co/_Desde_151
MSI Tienda oficial,1,201,https://articulo.mercadolibre.com.co/MCO-460746186-repetidor-amplificador-senal-wifi-router-300mbps-inalambrico-_JM,MCO460746186,Repetidor Amplificador Señal Wifi Router 300mbps Inálambrico,2,43990,10205680,Redes y Redes Inalámbricas,2018-09-10,232,0,https://computacion.mercadolibre.com.co/_Desde_151
KRAZYNETUNILAGO2-216,2,622,https://articulo.mercadolibre.com.co/MCO-452149902-mouse-gamer-8-botones-9200-dpi-usb-pc-6-colores-zelote-2018-_JM,MCO452149902,Mouse Gamer 8 Botones 9200 Dpi Usb Pc 6 Colores Zelote 2018,6,50000,36900000,Periféricos y Accesorios de PC,2018-09-10,738,1,https://computacion.mercadolibre.com.co/_Desde_151
GLOBALMARKTRADINGSERVICES,7,337,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,3,34900,6631000,Apple,2018-09-10,190,1,https://computacion.mercadolibre.com.co/_Desde_151
VIRTUALSHOPJS,7,896,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,8,34900,6631000,Apple,2018-09-10,190,1,https://computacion.mercadolibre.com.co/_Desde_151
SOFTSYS2015,3,69,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,6,34900,6631000,Apple,2018-09-10,190,0,https://computacion.mercadolibre.com.co/_Desde_151
ELLOCO_166,10,267,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,2,34900,6631000,Apple,2018-09-10,190,0,https://computacion.mercadolibre.com.co/_Desde_151
PROVEEDOR123,11,1,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,1,34900,6631000,Apple,2018-09-10,190,1,https://computacion.mercadolibre.com.co/_Desde_151
MICRO-VENTAS VIRTUAL,13,1,https://articulo.mercadolibre.com.co/MCO-457317856-convertidor-3-en-1-mini-displayport-a-hdmi-vga-dvi-15cm-mac-_JM,MCO457317856,Convertidor 3 En 1 Mini Displayport A Hdmi Vga Dvi 15cm Mac,1,34900,6631000,Apple,2018-09-10,190,1,https://computacion.mercadolibre.com.co/_Desde_151
ANAYLEO,11,211,https://articulo.mercadolibre.com.co/MCO-461045626-cajon-monedero-pos-zimpra-con-rj11-8-monedas-5-billetes-_JM,MCO461045626,Cajon Monedero Pos Zimpra Con Rj11 8 Monedas 5 Billetes,2,138900,16668000,Periféricos y Accesorios de PC,2018-09-10,120,1,https://computacion.mercadolibre.com.co/_Desde_201
SYSCOMPUTOMED,4,372,https://articulo.mercadolibre.com.co/MCO-452056025-mikrotik-hap-lite-rb941-2nd-tc-_JM,MCO452056025,Mikrotik Hap Lite Rb941-2nd-tc,3,85000,25415000,Redes y Redes Inalámbricas,2018-09-10,299,1,https://computacion.mercadolibre.com.co/_Desde_201
SYSTEMS HYC,9,166,https://articulo.mercadolibre.com.co/MCO-461059318-pc-gamer-i5-8400-gtx-1060-6-gb-hdd-1-tb-ram-8gb-_JM,MCO461059318,Pc Gamer I5 8400 Gtx 1060 6 Gb Hdd 1 Tb Ram 8gb,1,3250000,6500000,Computadores,2018-09-10,2,1,https://computacion.mercadolibre.com.co/_Desde_201
Locatel Tienda oficial,10,2,https://articulo.mercadolibre.com.co/MCO-474301326-procesador-amd-ryzen-5-2600x-36-a-42-ghz-_JM,MCO474301326,Procesador Amd Ryzen 5 2600x 36 A 42 Ghz,2,1052999,6317994,Partes y Componentes de PC,2018-09-10,6,1,https://computacion.mercadolibre.com.co/_Desde_201
MACROTICS,9,1,https://articulo.mercadolibre.com.co/MCO-461941782-tablet-7-silvermax-quad-core-gafas-3d-wifi-camara-android-_JM,MCO461941782,Tablet 7  Silvermax Quad Core Gafas 3d Wifi Camara Android,1,199900,144127900,Tablets,2018-09-10,721,1,https://computacion.mercadolibre.com.co/_Desde_201
BLACKBULL-COL,3,507,https://articulo.mercadolibre.com.co/MCO-461941782-tablet-7-silvermax-quad-core-gafas-3d-wifi-camara-android-_JM,MCO461941782,Tablet 7  Silvermax Quad Core Gafas 3d Wifi Camara Android,5,199900,144127900,Tablets,2018-09-10,721,1,https://computacion.mercadolibre.com.co/_Desde_201
Asus Tienda oficial,1,199,https://articulo.mercadolibre.com.co/MCO-461941782-tablet-7-silvermax-quad-core-gafas-3d-wifi-camara-android-_JM,MCO461941782,Tablet 7  Silvermax Quad Core Gafas 3d Wifi Camara Android,1,199900,144127900,Tablets,2018-09-10,721,1,https://computacion.mercadolibre.com.co/_Desde_201
JUCACASA,18,3,https://articulo.mercadolibre.com.co/MCO-461941782-tablet-7-silvermax-quad-core-gafas-3d-wifi-camara-android-_JM,MCO461941782,Tablet 7  Silvermax Quad Core Gafas 3d Wifi Camara Android,3,199900,144127900,Tablets,2018-09-10,721,1,https://computacion.mercadolibre.com.co/_Desde_201
NEXINIMPORTACIONES,1,1,https://articulo.mercadolibre.com.co/MCO-480801752-repetidor-amplificador-senal-wifi-4-antenas-rompemuros-_JM,MCO480801752,Repetidor Amplificador Señal Wifi 4 Antenas Rompemuros,1,59900,27254500,Redes y Redes Inalámbricas,2018-09-10,455,1,https://computacion.mercadolibre.com.co/_Desde_251
KEMU5878051,1,273,https://articulo.mercadolibre.com.co/MCO-480801752-repetidor-amplificador-senal-wifi-4-antenas-rompemuros-_JM,MCO480801752,Repetidor Amplificador Señal Wifi 4 Antenas Rompemuros,2,59900,27254500,Redes y Redes Inalámbricas,2018-09-10,455,0,https://computacion.mercadolibre.com.co/_Desde_251
POWERDEAL.COM.CO,2,813,https://articulo.mercadolibre.com.co/MCO-459148671-torre-cpu-gamer-i7-7700-gtx1050ti-1tb-ram-8gb-pc-wifi-gratis-_JM,MCO459148671,Torre Cpu Gamer I7 7700 Gtx1050ti 1tb Ram 8gb Pc Wifi Gratis,8,2799900,19599300,Computadores,2018-09-10,7,1,https://computacion.mercadolibre.com.co/_Desde_251
GANGAD1G1TAL,10,1,https://articulo.mercadolibre.com.co/MCO-447907655-fuente-de-poder-gamer-aerocool-vx-600-600w-115-230v-nueva-_JM,MCO447907655,Fuente De Poder Gamer Aerocool Vx-600 600w 115-230v Nueva,1,209000,6479000,Partes y Componentes de PC,2018-09-10,31,1,https://computacion.mercadolibre.com.co/_Desde_251
OMNILIDERES,14,243,https://articulo.mercadolibre.com.co/MCO-478440671-computador-core-i7-de-7ta-gen7700-gamer-diseno-_JM,MCO478440671,Computador   Core I7 De 7ta Gen7700   Gamer / Diseño,2,5508000,5508000,Computadores,2018-09-10,1,1,https://computacion.mercadolibre.com.co/_Desde_251
YR TECNOLOGIA,9,105,https://articulo.mercadolibre.com.co/MCO-457869724-portatil-asus-x542ur-g0037-intel-core-i3-7100u-tarjvid-2gb-_JM,MCO457869724,Portatil Asus X542ur-g0037 - Intel Core I3 7100u Tarjvid 2gb,1,1940999,13586993,Portátiles,2018-09-10,7,0,https://computacion.mercadolibre.com.co/_Desde_251
CASTORDATA SAS,1,167,https://articulo.mercadolibre.com.co/MCO-457869724-portatil-asus-x542ur-g0037-intel-core-i3-7100u-tarjvid-2gb-_JM,MCO457869724,Portatil Asus X542ur-g0037 - Intel Core I3 7100u Tarjvid 2gb,1,1940999,13586993,Portátiles,2018-09-10,7,1,https://computacion.mercadolibre.com.co/_Desde_251
QUEEN.BEE.,2,4,https://articulo.mercadolibre.com.co/MCO-457869724-portatil-asus-x542ur-g0037-intel-core-i3-7100u-tarjvid-2gb-_JM,MCO457869724,Portatil Asus X542ur-g0037 - Intel Core I3 7100u Tarjvid 2gb,4,1940999,13586993,Portátiles,2018-09-10,7,1,https://computacion.mercadolibre.com.co/_Desde_251
CASASNATALI,4,134,https://articulo.mercadolibre.com.co/MCO-460134539-kit-x-4-tintas-originales-canon-gi-190-g2100-g3100-g4100-_JM,MCO460134539,Kit X 4 Tintas Originales Canon Gi-190 G2100 G3100 G4100,1,72500,10295000,Cartuchos Toner y Tintas,2018-09-10,142,0,https://computacion.mercadolibre.com.co/_Desde_301
SYSCOLOMBIA,7,257,https://articulo.mercadolibre.com.co/MCO-454479587-tarjeta-de-sonido-usb-51-audifonos-y-microfono-35mm-empaq-_JM,MCO454479587,Tarjeta De Sonido Usb 5.1. Audifonos Y Microfono 3.5mm Empaq,2,5000,2875000,Partes y Componentes de PC,2018-09-10,575,1,https://computacion.mercadolibre.com.co/_Desde_301
IMPORTELLCO,5,497,https://articulo.mercadolibre.com.co/MCO-451194127-tarjeta-de-video-gigabyte-gtx-1050-ti-4-gb-windforce-oc-ddr5-_JM,MCO451194127,Tarjeta De Video Gigabyte Gtx 1050 Ti 4 Gb Windforce Oc Ddr5,4,1079999,292679729,Tarjetas de Video y Captura,2018-09-10,271,0,https://computacion.mercadolibre.com.co/_Desde_301
DISTRIBUIDOR IMPRESORAS,2,678,https://articulo.mercadolibre.com.co/MCO-451194127-tarjeta-de-video-gigabyte-gtx-1050-ti-4-gb-windforce-oc-ddr5-_JM,MCO451194127,Tarjeta De Video Gigabyte Gtx 1050 Ti 4 Gb Windforce Oc Ddr5,6,1079999,292679729,Tarjetas de Video y Captura,2018-09-10,271,1,https://computacion.mercadolibre.com.co/_Desde_301
SITIOVENTAS.COM,4,676,https://articulo.mercadolibre.com.co/MCO-451194127-tarjeta-de-video-gigabyte-gtx-1050-ti-4-gb-windforce-oc-ddr5-_JM,MCO451194127,Tarjeta De Video Gigabyte Gtx 1050 Ti 4 Gb Windforce Oc Ddr5,6,1079999,292679729,Tarjetas de Video y Captura,2018-09-10,271,1,https://computacion.mercadolibre.com.co/_Desde_301
OKLAHOMA COMPUTADORES,1,324,https://articulo.mercadolibre.com.co/MCO-451194127-tarjeta-de-video-gigabyte-gtx-1050-ti-4-gb-windforce-oc-ddr5-_JM,MCO451194127,Tarjeta De Video Gigabyte Gtx 1050 Ti 4 Gb Windforce Oc Ddr5,3,1079999,292679729,Tarjetas de Video y Captura,2018-09-10,271,1,https://computacion.mercadolibre.com.co/_Desde_301
OLIMPO SHOP_01,2,678,https://articulo.mercadolibre.com.co/MCO-456253598-impresora-wifi-sistema-original-canon-g3100-tinta-koreana-_JM,MCO456253598,Impresora Wifi Sistema Original Canon G3100 + Tinta Koreana,6,410900,14381500,Impresoras,2018-09-10,35,1,https://computacion.mercadolibre.com.co/_Desde_351
WIIGIRL,10,196,https://articulo.mercadolibre.com.co/MCO-471811608-combo-pos-sat-cajon-monedero-impresora-58mm-lector-con-base-_JM,MCO471811608,Combo Pos Sat Cajon Monedero Impresora 58mm Lector Con Base,1,409900,6148500,Impresoras,2018-09-10,15,0,https://computacion.mercadolibre.com.co/_Desde_351
